Author,Title,Year,Url
Herman Melville,Moby Dick,1851,https://www.literaturepage.com/read/mobydick-13.html
Bram Stoker,Dracula,1897,https://www.literaturepage.com/read/dracula-32.html
Oscar Wilde,The Picture of Dorian Gray,1890,https://www.literaturepage.com/read/doriangray-68.html
Charles Dickens,Oliver Twist,1837,https://www.literaturepage.com/read/olivertwist-94.html
Thomas Hardy,The Woodlanders,1887,https://www.literaturepage.com/read/the-woodlanders-104.html
Henry James,The Portrait of a Lady,1880,https://www.literaturepage.com/read/portrait-of-a-lady-52.html
Mary Wollstonecraft Shelley,Frankenstein,1818,https://www.literaturepage.com/read/frankenstein-20.html
Charlotte Bronte,Jane Eyre,1847,https://www.literaturepage.com/read/janeeyre-126.html
Louisa May Alcott,Little Women,1868,https://www.literaturepage.com/read/littlewomen-113.html
Anne Bronte,The Tenant of Wildfowl Hall,1848,https://www.literaturepage.com/read/tenant-of-wildfell-hall-76.html
Jane Austen,Pride and Prejudice,1811,https://www.literaturepage.com/read/prideandprejudice-178.html
George Eliot (Mary Anne Evans),Middlemarch,1872,https://www.literaturepage.com/read/middlemarch-402.html



